PNR	HHNR	APER	WKSTAT	AGE
73	73	1	nonworker	15--34
74	74	1	nonworker	15--34
75	75	1	nonworker	15--34
76	76	1	nonworker	15--34
77	77	1	nonworker	15--34
78	78	1	nonworker	15--34
79	79	1	nonworker	15--34
80	80	1	nonworker	15--34
81	81	1	nonworker	15--34
82	82	1	nonworker	15--34
83	83	1	nonworker	15--34
84	84	1	nonworker	15--34
85	85	1	nonworker	15--34
86	86	1	nonworker	15--34
87	87	1	nonworker	15--34
88	88	1	nonworker	15--34
89	89	1	nonworker	15--34
90	90	1	nonworker	15--34
91	91	1	nonworker	15--34
92	92	1	nonworker	15--34
93	93	1	nonworker	15--34
94	94	1	nonworker	15--34
95	95	1	nonworker	15--34
96	96	1	parttime	15--34
97	97	1	parttime	15--34
98	98	1	parttime	15--34
99	99	1	parttime	15--34
100	100	1	parttime	15--34
101	101	1	parttime	15--34
102	102	1	parttime	15--34
103	103	1	parttime	15--34
104	104	1	parttime	15--34
105	105	1	parttime	15--34
106	106	1	parttime	15--34
107	107	1	parttime	15--34
108	108	1	parttime	15--34
109	109	1	parttime	15--34
110	110	1	parttime	15--34
111	111	1	parttime	15--34
112	112	1	parttime	15--34
113	113	1	parttime	15--34
114	114	1	parttime	15--34
115	115	1	parttime	15--34
116	116	1	parttime	15--34
117	117	1	parttime	15--34
118	118	1	parttime	15--34
119	119	1	parttime	15--34
120	120	1	parttime	15--34
121	121	1	parttime	15--34
122	122	1	parttime	15--34
123	123	1	parttime	15--34
124	124	1	parttime	15--34
125	125	1	parttime	15--34
126	126	1	parttime	15--34
127	127	1	parttime	15--34
128	128	1	parttime	15--34
129	129	1	parttime	15--34
130	130	1	parttime	15--34
131	131	1	parttime	15--34
132	132	1	parttime	15--34
133	133	1	parttime	15--34
134	134	1	parttime	15--34
135	135	1	parttime	15--34
136	136	1	parttime	15--34
137	137	1	parttime	15--34
138	138	1	fulltime	15--34
139	139	1	fulltime	15--34
140	140	1	fulltime	15--34
141	141	1	fulltime	15--34
142	142	1	fulltime	15--34
143	143	1	fulltime	15--34
144	144	1	fulltime	15--34
145	145	1	fulltime	15--34
146	146	1	fulltime	15--34
147	147	1	fulltime	15--34
148	148	1	fulltime	15--34
149	149	1	fulltime	15--34
150	150	1	fulltime	15--34
151	151	1	fulltime	15--34
152	152	1	fulltime	15--34
153	153	1	fulltime	15--34
154	154	1	fulltime	15--34
155	155	1	fulltime	15--34
156	156	1	fulltime	15--34
157	157	1	fulltime	15--34
158	158	1	fulltime	15--34
159	159	1	fulltime	15--34
160	160	1	fulltime	15--34
161	161	1	fulltime	15--34
162	162	1	fulltime	15--34
163	163	1	fulltime	15--34
164	164	1	fulltime	15--34
165	165	1	fulltime	15--34
166	166	1	fulltime	15--34
167	167	1	fulltime	15--34
168	168	1	fulltime	15--34
169	169	1	fulltime	15--34
170	170	1	fulltime	15--34
171	171	1	fulltime	15--34
172	172	1	fulltime	15--34
173	173	1	fulltime	15--34
174	174	1	fulltime	15--34
175	175	1	fulltime	15--34
176	176	1	fulltime	15--34
177	177	1	fulltime	15--34
178	178	1	fulltime	15--34
179	179	1	fulltime	15--34
180	180	1	fulltime	15--34
181	181	1	fulltime	15--34
182	182	1	fulltime	15--34
183	183	1	fulltime	15--34
184	184	1	fulltime	15--34
185	185	1	fulltime	15--34
186	186	1	fulltime	15--34
187	187	1	fulltime	15--34
188	188	1	fulltime	15--34
189	189	1	fulltime	15--34
190	190	1	fulltime	15--34
191	191	1	fulltime	15--34
192	192	1	fulltime	15--34
193	193	1	fulltime	15--34
194	194	1	fulltime	15--34
195	195	1	fulltime	15--34
196	196	1	fulltime	15--34
197	197	1	fulltime	15--34
198	198	1	nonworker	35--64
199	199	1	nonworker	35--64
200	200	1	nonworker	35--64
201	201	1	nonworker	35--64
202	202	1	nonworker	35--64
203	203	1	nonworker	35--64
204	204	1	nonworker	35--64
205	205	1	nonworker	35--64
206	206	1	nonworker	35--64
207	207	1	nonworker	35--64
208	208	1	nonworker	35--64
209	209	1	nonworker	35--64
210	210	1	nonworker	35--64
211	211	1	nonworker	35--64
212	212	1	nonworker	35--64
213	213	1	nonworker	35--64
214	214	1	nonworker	35--64
215	215	1	nonworker	35--64
216	216	1	nonworker	35--64
217	217	1	nonworker	35--64
218	218	1	nonworker	35--64
219	219	1	nonworker	35--64
220	220	1	nonworker	35--64
221	221	1	nonworker	35--64
222	222	1	nonworker	35--64
223	223	1	nonworker	35--64
224	224	1	nonworker	35--64
225	225	1	nonworker	35--64
226	226	1	nonworker	35--64
227	227	1	nonworker	35--64
228	228	1	nonworker	35--64
229	229	1	nonworker	35--64
230	230	1	nonworker	35--64
231	231	1	nonworker	35--64
232	232	1	nonworker	35--64
233	233	1	parttime	35--64
234	234	1	parttime	35--64
235	235	1	parttime	35--64
236	236	1	parttime	35--64
237	237	1	parttime	35--64
238	238	1	parttime	35--64
239	239	1	parttime	35--64
240	240	1	parttime	35--64
241	241	1	parttime	35--64
242	242	1	parttime	35--64
243	243	1	parttime	35--64
244	244	1	parttime	35--64
245	245	1	parttime	35--64
246	246	1	parttime	35--64
247	247	1	parttime	35--64
248	248	1	parttime	35--64
249	249	1	parttime	35--64
250	250	1	fulltime	35--64
251	251	1	fulltime	35--64
252	252	1	fulltime	35--64
253	253	1	fulltime	35--64
254	254	1	fulltime	35--64
255	255	1	fulltime	35--64
256	256	1	fulltime	35--64
257	257	1	fulltime	35--64
258	258	1	fulltime	35--64
259	259	1	fulltime	35--64
260	260	1	fulltime	35--64
261	261	1	fulltime	35--64
262	262	1	fulltime	35--64
263	263	1	fulltime	35--64
264	264	1	fulltime	35--64
265	265	1	fulltime	35--64
266	266	1	fulltime	35--64
267	267	1	fulltime	35--64
268	268	1	fulltime	35--64
269	269	1	fulltime	35--64
270	270	1	fulltime	35--64
271	271	1	fulltime	35--64
272	272	1	fulltime	35--64
273	273	1	fulltime	35--64
274	274	1	fulltime	35--64
275	275	1	fulltime	35--64
276	276	1	fulltime	35--64
277	277	1	fulltime	35--64
278	278	1	fulltime	35--64
279	279	1	fulltime	35--64
280	280	1	fulltime	35--64
281	281	1	fulltime	35--64
282	282	1	fulltime	35--64
283	283	1	fulltime	35--64
284	284	1	fulltime	35--64
285	285	1	fulltime	35--64
286	286	1	fulltime	35--64
287	287	1	fulltime	35--64
288	288	1	fulltime	35--64
289	289	1	fulltime	35--64
290	290	1	fulltime	35--64
291	291	1	fulltime	35--64
292	292	1	fulltime	35--64
293	293	1	fulltime	35--64
294	294	1	fulltime	35--64
295	295	1	fulltime	35--64
296	296	1	fulltime	35--64
297	297	1	fulltime	35--64
298	298	1	fulltime	35--64
299	299	1	fulltime	35--64
300	300	1	fulltime	35--64
301	301	1	fulltime	35--64
302	302	1	fulltime	35--64
303	303	1	fulltime	35--64
304	304	1	fulltime	35--64
305	305	1	fulltime	35--64
306	306	1	fulltime	35--64
307	307	1	fulltime	35--64
308	308	1	fulltime	35--64
309	309	1	fulltime	35--64
310	310	1	fulltime	35--64
311	311	1	fulltime	35--64
312	312	1	fulltime	35--64
313	313	1	fulltime	35--64
314	314	1	fulltime	35--64
315	315	1	nonworker	65+
316	316	1	nonworker	65+
317	317	1	nonworker	65+
318	318	1	nonworker	65+
319	319	1	nonworker	65+
320	320	1	nonworker	65+
321	321	1	nonworker	65+
322	322	1	nonworker	65+
323	323	1	nonworker	65+
324	324	1	nonworker	65+
325	325	1	nonworker	65+
326	326	1	nonworker	65+
327	327	1	nonworker	65+
328	328	1	nonworker	65+
329	329	1	nonworker	65+
330	330	1	nonworker	65+
331	331	1	nonworker	65+
332	332	1	nonworker	65+
333	333	1	nonworker	65+
334	334	1	nonworker	65+
335	335	1	nonworker	65+
336	336	1	nonworker	65+
337	337	1	nonworker	65+
338	338	1	nonworker	65+
339	339	1	nonworker	65+
340	340	1	nonworker	65+
341	341	1	nonworker	65+
342	342	1	nonworker	65+
343	343	1	nonworker	65+
344	344	1	nonworker	65+
345	345	1	nonworker	65+
346	346	1	nonworker	65+
347	347	1	nonworker	65+
348	348	1	nonworker	65+
349	349	1	nonworker	65+
350	350	1	nonworker	65+
351	351	1	nonworker	65+
352	352	1	nonworker	65+
353	353	1	nonworker	65+
354	354	1	nonworker	65+
355	355	1	nonworker	65+
356	356	1	nonworker	65+
357	357	1	nonworker	65+
358	358	1	nonworker	65+
359	359	1	nonworker	65+
360	360	1	nonworker	65+
361	361	1	nonworker	65+
362	362	1	nonworker	65+
363	363	1	nonworker	65+
364	364	1	nonworker	65+
365	365	1	nonworker	65+
366	366	1	nonworker	65+
367	367	1	nonworker	65+
368	368	1	nonworker	65+
369	369	1	nonworker	65+
370	370	1	nonworker	65+
371	371	1	nonworker	65+
372	372	1	nonworker	65+
373	373	1	nonworker	65+
374	374	1	nonworker	65+
375	375	1	nonworker	65+
376	376	1	nonworker	65+
377	377	1	nonworker	65+
378	378	1	nonworker	65+
379	379	1	nonworker	65+
380	380	1	nonworker	65+
381	381	1	nonworker	65+
382	382	1	nonworker	65+
383	383	1	nonworker	65+
384	384	1	nonworker	65+
385	385	1	nonworker	65+
386	386	1	nonworker	65+
387	387	1	nonworker	65+
388	388	1	nonworker	65+
389	389	1	parttime	65+
390	390	1	parttime	65+
391	391	1	parttime	65+
392	392	1	parttime	65+
393	393	1	parttime	65+
394	394	1	parttime	65+
395	395	1	parttime	65+
396	396	1	parttime	65+
397	397	1	parttime	65+
398	398	1	parttime	65+
399	399	1	parttime	65+
400	400	1	parttime	65+
401	401	1	parttime	65+
402	402	1	parttime	65+
403	403	1	parttime	65+
404	404	1	fulltime	65+
405	405	1	fulltime	65+
